SampleDate,Location,LocationName,CRCArea,Boat#/InterviewNumber,Anglers,ChinCaught,CohoCaught,OtherSpCode,SpeciesName,#OtherSpCaught,Rel Sps Code,#Rel
092594,1041,,7,WN585Z,3,,2,,,,,
092594,1041,,81,WN6808N,2,,,,,,,
081594,1173,,11,WN2164MA,1,,,,,,1,3
081594,1173,,11,WN8610KE,1,,,,,,,
081594,1173,,11,WN2526MA,1,,,,,,,
081594,1173,,11,WN104BL,2,,1,,,,,
081594,1173,,11,WN6610KH,1,,,,,,1,2
081594,1173,,11,WN5859LH,1,,,,,,,
081594,1173,,11,WN63CH,1,,,,,,,
081594,1173,,11,WN7619KE,1,1,,,,,,
081594,1173,,11,WN8665LA,2,,,,,,,
081594,1173,,11,WN6865MD,1,,,,,,1,2
081594,1173,,11,WN0686MA,1,2,,,,,,
081594,1173,,11,WN0999LE,1,,,,,,,
081594,1173,,11,WN441LD,1,,,,,,,
081594,1173,,11,WN9396KU,1,1,,,,,,
081594,1173,,11,WN523BG,2,,,,,,1,2
081594,1173,,11,WN2678S,2,1,,,,,,
081594,1173,,11,WN7900X,1,1,,,,,1,3
081594,1173,,11,WN759CS,2,1,,,,,1,1
081594,1173,,11,WN5735JR,2,1,,,,,,
081594,1173,,11,WN2756ME,1,,,,,,,
081594,1173,,11,WN0686MA,1,,,,,,,
081594,1173,,11,WN7698L,1,1,,,,,,
081594,1173,,11,WN895GA,2,1,1,,,,1,2
081594,1173,,11,WN7491CP,2,1,,,,,,
081594,1173,,11,WN9433AP,1,,,,,,4,1
081594,1173,,11,WN9611LA,2,,,,,,1,1
081594,1173,,11,WN4414MA,1,,,,,,,
081594,1173,,11,WN760CS,2,1,,,,,,
081594,1173,,11,1,1,1,,,,,,
081594,1173,,11,WN660GB,2,1,,,,,,
081594,1173,,11,UNKNOWN,1,,,,,,,
081694,1149,,13,WN1150RD,1,1,,,,,,
081694,1149,,13,WN203AX,1,,,,,,,
081694,1149,,11,WN0374RD,1,,,,,,,
081694,1149,,11,WN1801GB,1,,,,,,,
081694,1149,,11,WN9394LE,2,,,,,,,
081694,1149,,13,WN9394LE,2,,,,,,,
081694,1149,,11,WN651DH,3,1,,,,,1,4
081694,1149,,11,WN974A,2,1,,,,,,
081694,1149,,11,WN980DC,2,1,,,,,,
081694,1149,,11,WN8359LF,2,,,,,,1,1
081694,1149,,11,WN9125MD,2,,,,,,,
081694,1149,,13,WN1378L,2,,,,,,,
081694,1149,,11,WN618P,2,,,,,,,
081694,1149,,11,WN9931LA,1,,,,,,,
081694,1149,,11,WN1893P,2,1,,,,,,
081694,1149,,11,WN1388P,3,,,,,,,
081994,1046,,11,1,1,,,,,,1,2
081994,1046,,11,2,1,,,,,,,
081994,1046,,11,3,1,,,,,,1,2
081994,1046,,11,4,1,,,,,,,
081994,1046,,11,5,1,,,,,,,
081994,1046,,11,6,1,,,,,,,
081994,1046,,11,7,1,1,,,,,1,1
081994,1046,,11,8,1,,,,,,,
081994,1046,,11,9,1,,,,,,,
081994,1046,,11,10,1,,,,,,,
081994,1046,,11,11,1,,,,,,,
081994,1046,,11,12,1,,,,,,,
010194,1177,,9,WN9430LH,1,2,,,,,,
010194,1177,,9,WN3835LH,1,,,,,,,
010194,1177,,9,WN2840RB,2,3,,,,,,
010194,1177,,9,WN6707JB,1,1,,,,,,
010194,1177,,9,PNP31,1,,,,,,1,1
010194,1177,,9,WN3850KD,1,1,,,,,,
010194,1177,,9,ID6845L,1,,,,,,,
010194,1177,,9,PNP2,2,,,,,,,
010294,1227,,10,WN4941RB,2,,,,,,1,2
010294,1227,,10,WN3548RC,2,,,,,,1,7
010294,1227,,10,WN5068RB,2,,,,,,1,4
010294,1227,,10,WN0381LJ,2,,,,,,1,3
010294,1227,,10,OH4217YH,3,,,,,,,
010294,1227,,10,WN7637RA,2,2,1,,,,,
010294,1227,,10,WN5130MC,1,,,,,,4,1
010294,1227,,10,WN5240MC,3,,,,,,1,2
010294,1227,,10,WN3585MA,2,,,,,,1,12
010294,1227,,10,WN6662KD,1,,,,,,1,3
010294,1227,,10,WN0530RB,2,,,,,,1,3
010294,1227,,10,WN8216K,3,,,,,,1,2
010294,1227,,10,WN8658GC,2,,,,,,1,12
010294,1227,,10,WN4753RC,1,,,,,,,
010294,1227,,10,WN506RB,5,,,,,,1,1
010294,1149,,11,WN7970RA,2,,,,,,1,2
010294,1149,,13,WN7970RA,2,,,,,,,
010294,1149,,13,WN9623RA,1,,,,,,,
010294,1149,,13,WN7917RA,2,,,,,,,
010294,1149,,13,WN3655Y,1,,,,,,1,2
010294,1149,,11,WN7554KU,1,,,,,,,
010294,1149,,11,WN6484KE,2,,,,,,1,8
010294,1149,,11,WN624CL,2,,,,,,1,30
010294,1149,,11,WN054JC,2,,,,,,1,4
010294,1149,,11,WN7939GB,3,,,,,,1,1
010294,1149,,11,WN7378MC,4,,,,,,1,2
010294,1149,,13,WN7378MC,4,,,,,,,
010294,1149,,11,WN5984RC,2,,,,,,1,2
010294,1149,,11,WN0981MC,1,1,,,,,1,1
010294,1149,,11,WN7265GB,1,,,,,,,
010694,1029,,82,WN2689NE,1,,,,,,,
010694,1029,,82,WN7585N,2,,,,,,,
010694,1029,,81,WN7585N,2,,,,,,1,1
010694,1029,,81,WN2719LB,2,,,,,,,
010694,1029,,82,WN2719LB,2,,,,,,,
010694,1029,,82,WN0952ME,1,,,,,,,
010694,1029,,82,WN7466MA,2,,,,,,,
010694,1029,,81,WN7466MA,2,1,,,,,,
010694,1029,,82,WN2227Z,1,,,,,,,
010694,1029,,81,WN2227Z,1,,,,,,,
010694,1029,,81,WN700BC,2,,,,,,,
010694,1029,,82,WN700BC,2,,,,,,,
010794,1013,,7,WN4432JF,2,,,,,,,
010794,1013,,7,WN7380MB,2,,,,,,,
010794,1041,,7,WN6841JR,2,,,,,,,
010894,1153,,81,WN5666MC,2,,,,,,,
010994,1013,,7,WN3655ME,1,,,,,,,
010994,1013,,7,WN1842ME,2,,,,,,,
010994,1013,,7,WN3342MA,2,3,,,,,,
010994,1013,,7,WN4466MD,2,,,,,,,
010994,1013,,7,WN7623MD,2,1,,,,,,
010994,1013,,7,WN8232KS,3,1,,,,,,
010994,1013,,7,WN1218ME,1,1,,,,,,
010994,1013,,7,OR976UP,3,,,,,,,
010994,1013,,7,OR976UP,3,,,,,,,
010994,1013,,7,OR976UP,3,,,,,,,
010994,1013,,7,OR976UP,3,,,,,,,
010994,1013,,7,WN7291KG,2,,,,,,,
010994,1041,,81,WN3126KS,1,,,,,,,
