SampleDate,LoCode,Ramp,CRCarea,InterviewNumber,Anglers,ChinookCaught,ChinAd,TotalCohoCatch,CohoAd,SalmonReleasedSpCode,SalmonName,SalmonReleasedCount,SalmonRelUM,SalmonRelAd,SalmonRelNK,RelCohoAd,RelCohoNK,RelCohoAd,CohoRelUM,RelChinAd,OthSpCode,SpeciesName,OthSpCatchCount,OthSpsRelCount
01022001,1281,Point Defiance Dock,11,4,1,,,,,1,Chinook,1,,,,,,,,,,,,
01022001,1281,Point Defiance Dock,11,5,1,,,,,1,Chinook,2,,,,,,,,,,,,
01042001,1561,Narrows Properties Park,13,1,1,,,,,4,Coho,1,,,,,1,,,,,,,
01042001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,5,,,,5,,,,,,,,
01062001,1561,Narrows Properties Park,13,8,1,,,,,4,Coho,4,,,,,,,4,,,,,
01062001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,3,,,,,,,3,,,,,
01062001,1561,Narrows Properties Park,13,5,1,,,,,4,Coho,1,,,,1,,,,,,,,
01062001,1561,Narrows Properties Park,13,7,1,,,,,4,Coho,6,,,,3,,,3,,,,,
01072001,1561,Narrows Properties Park,13,5,1,,,,,4,Coho,1,,,,1,,,,,,,,
01072001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,2,,,,,2,,,,,,,
01072001,1561,Narrows Properties Park,13,3,1,,,,,4,Coho,2,,,,,2,,,,,,,
01072001,1561,Narrows Properties Park,13,2,1,,,,,4,Coho,2,,,,2,,,,,,,,
01072001,1561,Narrows Properties Park,13,1,1,,,,,1,Chinook,1,,,,,,,,,,,,
01072001,1561,Narrows Properties Park,13,1,1,,,,,4,Coho,1,,,,,1,,,,,,,
01082001,1561,Narrows Properties Park,13,1,1,,,,,4,Coho,3,,,,,3,,,,,,,
01092001,1281,Point Defiance Dock,11,1,1,,,,,1,Chinook,2,,,,,,,,,,,,
01092001,1070,Fox Island Public Ramp,13,1,1,,,,,4,Coho,8,,,,,8,,,,,,,
01132001,1561,Narrows Properties Park,13,6,1,,,,,4,Coho,5,,,,4,,,1,,,,,
01132001,1561,Narrows Properties Park,13,5,1,,,,,4,Coho,1,,,,1,,,,,,,,
01132001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,1,,,,,1,,,,,,,
01132001,1561,Narrows Properties Park,13,3,1,,,,,4,Coho,5,,,,,5,,,,,,,
01132001,1561,Narrows Properties Park,13,7,1,,,,,4,Coho,2,,,,1,,,1,,,,,
01132001,1561,Narrows Properties Park,13,10,1,,,,,4,Coho,1,,,,1,,,,,,,,
01132001,1561,Narrows Properties Park,13,11,1,,,,,4,Coho,3,,,,3,,,,,,,,
01142001,1174,Point Defiance Public Ramp,13,1,2,,,,,1,Chinook,1,,,,,,,,,,,,
01162001,1070,Fox Island Public Ramp,13,2,2,,,,,4,Coho,3,,,,2,,,1,,,,,
01162001,1070,Fox Island Public Ramp,13,2,2,,,,,7,Trout,2,,,,,,,,,,,,
01162001,1070,Fox Island Public Ramp,13,1,1,,,,,4,Coho,9,,,,,9,,,,,,,
01172001,1561,Narrows Properties Park,13,3,1,,,,,4,Coho,3,,,,2,,,1,,,,,
01172001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,3,,,,3,,,,,,,,
01172001,1561,Narrows Properties Park,13,5,1,,,,,4,Coho,1,,,,1,,,,,,,,
01172001,1070,Fox Island Public Ramp,13,1,2,,,,,4,Coho,4,,,,4,,,,,,,,
01172001,1428,Seacrest Pier,10,3,1,,,,,1,Chinook,1,,,,,,,,,,,,
01172001,1561,Narrows Properties Park,13,2,1,,,,,4,Coho,1,,,,1,,,,,,,,
01202001,1428,Seacrest Pier,10,2,1,,,,,1,Chinook,2,,,,,,,,,,,,
01212001,1561,Narrows Properties Park,13,10,1,,,,,4,Coho,1,,,,,1,,,,,,,
01212001,1561,Narrows Properties Park,13,8,1,,,,,4,Coho,2,,,,2,,,,,,,,
01212001,1561,Narrows Properties Park,13,9,1,,,,,4,Coho,2,,,,2,,,,,,,,
01272001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,1,,,,,1,,,,,,,
01282001,1561,Narrows Properties Park,13,1,1,,,,,1,Chinook,3,,,,3,,,,,,,,
02032001,1561,Narrows Properties Park,13,4,1,,,,,4,Coho,6,,,,,6,,,,,,,
02032001,1561,Narrows Properties Park,13,3,1,,,,,4,Coho,5,,,,,5,,,,,,,
02032001,1561,Narrows Properties Park,13,2,1,,,,,4,Coho,2,,,,,2,,,,,,,
02112001,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,13,1,1,,,,,4,Coho,5,,,,5,,,,,,,,
02132001,1431,Elliott Bay Public Pier,10,6,1,,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1006,Armeni Public Ramp,10,3,2,1,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1174,Point Defiance Public Ramp,11,5,2,,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1174,Point Defiance Public Ramp,11,6,3,2,,,,1,Chinook,1,,,,,,,,2,,,,
02162001,1186,"Ediz Hook, Port Angeles Public Ramp",06,1,3,,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1174,Point Defiance Public Ramp,11,8,2,,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1006,Armeni Public Ramp,10,5,1,,,,,1,Chinook,4,,,,,,,,,,,,
02162001,1006,Armeni Public Ramp,10,2,2,2,,,,1,Chinook,2,,,,,,,,1,,,,
02162001,1006,Armeni Public Ramp,10,4,1,,,,,1,Chinook,2,,,,,,,,,,,,
02162001,1174,Point Defiance Public Ramp,11,11,2,,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1006,Armeni Public Ramp,10,1,2,,,,,1,Chinook,1,,,,,,,,,,,,
02162001,1174,Point Defiance Public Ramp,10,12,3,2,,,,1,Chinook,5,,,,,,,,1,,,,
02162001,1174,Point Defiance Public Ramp,11,13,2,,,,,1,Chinook,1,,,,,,,,,,,,
02172001,1268,Washington Park Launch Ramp,07,39,2,,,,,1,Chinook,3,,,,,,,,,,,,
02172001,1268,Washington Park Launch Ramp,07,42,4,,,,,1,Chinook,2,,,,,,,,,,,,
