year,month,day,boats,anglers,derby,catch_area_code,location_code,location_name,chinook_ad_ret,chinook_um_ret,chinook_ud_ret,chinook_un_ret,chinook_ad_rel,chinook_um_rel,chinook_ud_rel,chinook_un_rel,coho_ad_ret,coho_um_ret,coho_ud_ret,coho_un_ret,coho_ad_rel,coho_um_rel,coho_ud_rel,coho_un_rel,pink_ret,pink_rel,chum_ret,chum_rel,sockeye_ret,sockeye_rel
2017,6,1,4,13,None,4,1159,Olson's Resort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,1,2,None,4,1263,Van Ripers Resort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,27,56,None,5,1159,Olson's Resort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,13,29,None,5,1263,Van Ripers Resort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,15,40,None,6,1041,Coronet Bay Public Ramp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,19,40,None,6,1067,Fort Casey Public Ramp and Shore (Keystone),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,40,89,None,6,1107,John Wayne Marina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,5,12,None,6,1151,Everett Ramp (formerly Norton Street Ramp (2010)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,83,170,None,6,1186,"Ediz Hook, Port Angeles Public Ramp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,40,89,None,6,1187,Port Angeles West Ramp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,19,41,None,6,1192,Port Townsend Boat Haven Ramp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,5,10,None,7,1013,Bellingham Ramp (Glenn St.) Squalicum Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,24,55,None,7,1041,Coronet Bay Public Ramp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,5,12,None,7,1073,"Port of Friday Harbor Marina, San Juan Is",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,11,21,None,7,1268,Washington Park Launch Ramp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,6,12,None,9,1067,Fort Casey Public Ramp and Shore (Keystone),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,6,10,None,9,1151,Everett Ramp (formerly Norton Street Ramp (2010)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,1,41,55,None,11,1173,Point Defiance Boathouse,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,6,1,22,45,None,11,1174,Point Defiance Public Ramp,1,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
